WhoAmI,Longitude,Latitude,ElevationMeters,ICAO,WMO,Region,Country2
-130.00_58.00,-130,58,1190.5292,,0,BC,CA
-130.00_57.75,-130,57.75,1345.9941,,0,BC,CA
-130.00_57.50,-130,57.5,1454.7892,,0,BC,CA
-130.00_57.25,-130,57.25,1429.7412,,0,BC,CA
-130.00_57.00,-130,57,1277.6261,,0,BC,CA
-130.00_56.75,-130,56.75,1197.6096,,0,BC,CA
-130.00_56.50,-130,56.5,1251.0554,,0,BC,CA
-130.00_56.25,-130,56.25,1233.9253,,0,BC,CA
-130.00_56.00,-130,56,1123.2269,,0,BC,CA
-130.00_55.75,-130,55.75,913.4025,,0,BC,CA
-130.00_55.50,-130,55.5,685.5343,,0,BC,CA
-130.00_55.25,-130,55.25,566.0805,,0,BC,CA
-130.00_55.00,-130,55,544.83936,,0,,
-130.00_54.75,-130,54.75,536.693,,0,BC,CA
-130.00_54.50,-130,54.5,471.6749,,0,,
-130.00_54.25,-130,54.25,379.47684,,0,BC,CA
-130.00_54.00,-130,54,301.13535,,0,BC,CA
-130.00_53.75,-130,53.75,229.03682,,0,BC,CA
-130.00_53.50,-130,53.5,130.8242,,0,BC,CA
-130.00_53.25,-130,53.25,34.74364,,0,BC,CA
-130.00_53.00,-130,53,2.0061722,,0,,
-130.00_52.75,-130,52.75,-0.27783284,,0,,
-130.00_52.50,-130,52.5,-0.50627315,,0,,
-130.00_52.25,-130,52.25,-2.1812367,,0,,
-130.00_52.00,-130,52,-1.0392342,,0,,
-130.00_51.75,-130,51.75,-1.0392342,,0,,
-130.00_51.50,-130,51.5,2.1583328,,0,,
-130.00_51.25,-130,51.25,2.691294,,0,,
-130.00_51.00,-130,51,-1.1915941,,0,,
-130.00_50.75,-130,50.75,0.17884865,,0,,
-130.00_50.50,-130,50.5,0.6357293,,0,,
-130.00_50.25,-130,50.25,2.9197342,,0,,
-130.00_50.00,-130,50,1.7014523,,0,,
-130.00_49.75,-130,49.75,-1.0392342,,0,,
-130.00_49.50,-130,49.5,-0.50627315,,0,,
-130.00_49.25,-130,49.25,2.7673743,,0,,
-130.00_49.00,-130,49,2.4628537,,0,,
-130.00_48.75,-130,48.75,1.0924108,,0,,
-130.00_48.50,-130,48.5,-0.7347135,,0,,
-130.00_48.25,-130,48.25,-0.6586331,,0,,
-130.00_48.00,-130,48,-1.4200345,,0,,
-130.00_47.75,-130,47.75,0.48336938,,0,,
-130.00_47.50,-130,47.5,0.86416966,,0,,
-130.00_47.25,-130,47.25,-0.43019277,,0,,
-130.00_47.00,-130,47,-0.6586331,,0,,
-130.00_46.75,-130,46.75,-0.6586331,,0,,
-130.00_46.50,-130,46.5,0.7878901,,0,,
-130.00_46.25,-130,46.25,1.1686903,,0,,
-130.00_46.00,-130,46,-2.1812367,,0,,
-130.00_45.75,-130,45.75,-0.6586331,,0,,
-130.00_45.50,-130,45.5,0.48336938,,0,,
-130.00_45.25,-130,45.25,0.17884865,,0,,
-130.00_45.00,-130,45,-1.0392342,,0,,
-130.00_44.75,-130,44.75,-1.7245551,,0,,
-130.00_44.50,-130,44.5,0.026687885,,0,,
-130.00_44.25,-130,44.25,0.7878901,,0,,
-130.00_44.00,-130,44,0.48336938,,0,,
-130.00_43.75,-130,43.75,0.25492904,,0,,
-130.00_43.50,-130,43.5,1.0163304,,0,,
-130.00_43.25,-130,43.25,-0.20175244,,0,,
-130.00_43.00,-130,43,-0.12567206,,0,,
-130.00_42.75,-130,42.75,0.48336938,,0,,
-130.00_42.50,-130,42.5,-0.20175244,,0,,
-130.00_42.25,-130,42.25,0.86416966,,0,,
-130.00_42.00,-130,42,0.48336938,,0,,
-130.00_41.75,-130,41.75,1.0924108,,0,,
-130.00_41.50,-130,41.5,0.5594498,,0,,
-130.00_41.25,-130,41.25,0.94025004,,0,,
-130.00_41.00,-130,41,-0.7347135,,0,,
-130.00_40.75,-130,40.75,-0.8107939,,0,,
-130.00_40.50,-130,40.5,0.3312086,,0,,
-130.00_40.25,-130,40.25,0.7118097,,0,,
-130.00_40.00,-130,40,0.5594498,,0,,
-130.00_39.75,-130,39.75,0.5594498,,0,,
-130.00_39.50,-130,39.5,-0.20175244,,0,,
-130.00_39.25,-130,39.25,0.6357293,,0,,
-130.00_39.00,-130,39,-0.12567206,,0,,
-130.00_38.75,-130,38.75,0.10276827,,0,,
-130.00_38.50,-130,38.5,-0.049591668,,0,,
-130.00_38.25,-130,38.25,-0.20175244,,0,,
-130.00_38.00,-130,38,0.026687885,,0,,
-130.00_37.75,-130,37.75,-0.20175244,,0,,
-130.00_37.50,-130,37.5,-0.12567206,,0,,
-130.00_37.25,-130,37.25,-1.7245551,,0,,
-130.00_37.00,-130,37,-0.3541124,,0,,
-130.00_36.75,-130,36.75,0.3312086,,0,,
-130.00_36.50,-130,36.5,1.0924108,,0,,
-130.00_36.25,-130,36.25,0.86416966,,0,,
-130.00_36.00,-130,36,0.86416966,,0,,
-130.00_35.75,-130,35.75,1.3208511,,0,,
-130.00_35.50,-130,35.5,0.10276827,,0,,
-130.00_35.25,-130,35.25,-0.58255273,,0,,
-130.00_35.00,-130,35,-0.43019277,,0,,
-130.00_34.75,-130,34.75,-0.6586331,,0,,
-130.00_34.50,-130,34.5,-0.20175244,,0,,
-130.00_34.25,-130,34.25,-0.20175244,,0,,
-130.00_34.00,-130,34,-0.43019277,,0,,
-130.00_33.75,-130,33.75,-0.12567206,,0,,
-130.00_33.50,-130,33.5,-0.12567206,,0,,
-130.00_33.25,-130,33.25,0.026687885,,0,,
-130.00_33.00,-130,33,0.10276827,,0,,
-130.00_32.75,-130,32.75,-0.96315384,,0,,
-130.00_32.50,-130,32.5,-0.12567206,,0,,
-130.00_32.25,-130,32.25,-0.3541124,,0,,
-130.00_32.00,-130,32,-0.43019277,,0,,
